"ID;Saran";
"1;untuk kasus karhutla nonperkebunan apakah pelaku bisa dikejar dan dihukum? ";
"2;Mari Bersolidaritas Bergotongroyong dgn Donasi Solidaritas Kebencanaan ";
"3;aku ngetweet ada 'gempa'nya gini kok ga direp sm bencana id ya? selective kah? ternyata ada titik-titiknya. gempa";
"4;habis transfer musim dingin memang bencana ";
"5;Sinopsis Perfect Strangers ketika ponsel mengubah persahabatan menjadi bencana ";
"6;tanyarlfes komen didominasi peta bencana id";
"7;untuk kasus karhutla nonperkebunan apakah pelaku bisa dikejar dan dihukum? Landasannya apa?";
"8;Ini video puncak gunung semeru sebelum erupsi. Kubah larva tertutup abu vulkanik. Persis seperti gunung kelut";
"9;Tuh langsung d coment sama peta bencana id.";
"10;peta bencana Kelas Jawa Tengah, Indonesia";
"11;@KhoirilAnwar_ @bengkeldodo @KEBUMENinLOVE @INDONESIAinLOVE @Bencana_ID @kabargeologi @Vulcano_Game @alextham878 @AnugrahrizkyFFD @AntiPekines @fahiraidris @gibran_tweet Pantas dikunjungi"",""1663911586266853376"","""",""KhoirilAnwar_"",""in"",""Surakarta, Jawa Tengah.";
"12;bleakfailure Terus di reply peta bencana id wkwk";
"13; bisa koordinasi terkait info kegempaan bersama Pak @DaryonoBMKG @infoBMKG @mitigasibencana @Bencana_ID @BNPB_Indonesia @merapi_uncover @Jogja_Uncover"",""1576136116641890306"","""",""JoseRodRibeiro"",""in"",""Grobogan"",""0"",""0"",""0"",""https://x.com/subisaja/status/1576136116641890306"",""567719393"",""subisaja""";
"14;@BNPB_Indonesia @DiskominfoAceh @humasaceh @ProvinsiAceh @dialeksis_news @dialeksisnews @BappedaAceh @bappedaceh_prov @petabencana @TAGANA_KEMENSOS @Bencana_ID @IntelBencana @bencanaID"",""1693948575016009738"","""","""",""qme"",""Banda Aceh"",""0"",""0"",""0"",""https://x.com/coganaryos/status/1693948575016009738"",""106972050"",""coganaryos""";
"15;@bengkeldodo @KhoirilAnwar_ @KEBUMENinLOVE @INDONESIAinLOVE @Bencana_ID @kabargeologi @Vulcano_Game @alextham878 @AnugrahrizkyFFD @AntiPekines @fahiraidris @gibran_tweet Pasti lur. Hanya maslah waktj aja. Aku suka kelayapan . Cuman ini kapal lagi docking. Ngga bisa kemana2 dulu"",""1663912238875377664"","""",""bengkeldodo"",""in"",""Surakarta, Jawa Tengah"",""0"",""0"",""0"",""https://x.com/AndreasSolusi/status/1663912238875377664"",""1569949318035156994"",""AndreasSolusi""";
"16;@FauleeKatze biasanya ada bot https://t.co/nAxyw0s4zc ini ko gaada"",""1483364770887569410"","""",""Adkiinnss"",""in"",""Atlantic Kingdom"",""0"",""1"",""0"",""https://x.com/vinosauruz/status/1483364770887569410"",""1173966937795153924"",""vinosauruz""";
"17;@Indra99a @Liga1Match @BhayangkaraFC @BorneoSMR @BANKBRI_ID Fak wkwkw stadionnya mengundang bencana id "",""1453298637887447053"","""",""Asepitenk"",""in"",""Ngawi, Indonesia"",""0"",""0"",""0"",""https://x.com/siwojelek/status/1453298637887447053"",""65697714"",""siwojelek""";
"18;Army dan peta bencana .id. ngakak bgt pagi https://t.co/m7vvYyTStP"",""1510398897239506944"",""https://pbs.twimg.com/media/FPYDx4oaMAEUaUc.jpg"","""",""in"",""bts heart"",""0"",""0"",""0"",""https://x.com/Mikrokosmos2310/status/1510398897239506944"",""1263364020926443522"",""Mikrokosmos2310""";
"19;@bengkeldodo @INDONESIAinLOVE @Bencana_ID @kabargeologi @Vulcano_Game @AndreasSolusi @alextham878 @AnugrahrizkyFFD @AntiPekines @fahiraidris @gibran_tweet @sepetaking "",""1664676543447310344"","""",""bengkeldodo"",""qme"",""";
"20;@infoBMKG @Bencana_ID @mitigasibencana @infopalu @BNPB_Indonesia"",""1146405499367092224"","""","""",""und"",""Jakarta Capital Region"",""0"",""0"",""0"",""https://x.com/retno_ari/status/1146405499367092224"",""110279472"",""retno_ari""";
"21;Kita jg berkoordinasi langsung dgn KADES CIBITUNG kec.ciater terkait kesiapsiagaan warga mensikapi ERUPSI GUNUNG TANGKUBAN PERAHU @MANGYONOcom @Gosipsubang @kabarsubangcom @KicauSubang @beritapasundan @eby_lavista @dlhsubang @Bencana_ID @haji_ruhimat @ridwankamil @Abi_Ergun https://t.co/H0U5VX8KD3"",""1158002198355140608"",""https://pbs.twimg.com/media/EBIMzZ8UwAMJPjb.jpg"","""",""in"",""Subang, Indonesia"",""0"",""0"",""1"",""https://x.com/ManikNyi/status/1158002198355140608"",""1141330357100273665"",""ManikNyi""";
"22;Apakah ini awan gempa Pak @DaryonoBMKG @infoBMKG @Bencana_ID ? https://t.co/fWe28qzNBe"",""1151047164216381440"",""https://pbs.twimg.com/media/D_lXSXoUcAAfonT.jpg"","""",""in"","""",""0"",""0"",""0"",""https://x.com/wiwitsuzuki_r4/status/1151047164216381440"",""2887455026"",""wiwitsuzuki_r4""";
"23;@Cho_Hamsyonk @wischweg @infobencana @arifrescue @KarangasemKab @InfoGempaa @Bencana_ID @anaktimur16 @SekilasKenangan @karangasem_id @id_magma Kebakaran serupa di lereng Agung pada tahun 2017 juga sebelum letusan dimulai https://t.co/Auk8PtX5du"",""1186606070304653317"","""",""Cho_Hamsyonk"",""in"","""",""0"",""1"",""0"",""https://x.com/DarrenPlane/status/1186606070304653317"",""364580735"",""DarrenPlane""";
"24;Pulau Bidadari x.com/KEBUMENinLOVE/status/1664676543447310344"",""2651602135"",""KEBUMENinLOVE""";
"29;@bengkeldodo @KEBUMENinLOVE @INDONESIAinLOVE @Bencana_ID @kabargeologi @Vulcano_Game @AndreasSolusi @alextham878 @AnugrahrizkyFFD @AntiPekines @fahiraidris @gibran_tweet Wonderful scene 🇮🇩️"",""1663908794995179523"","""",""bengkeldodo"",""en"",""Khoiril Anwar"",""0"",""2"",""0"",""https://x.com/KhoirilAnwar_/status/1663908794995179523"",""1015531697226444800"",""KhoirilAnwar_""";
"30;@tvOneNews Kok tidak ada peringatan dini dr pihak yg berwenang @infoBMKG @Bencana_ID katanya Alatnya EWS lg rusak Padahal bbrp bulan belakangan ada tanda gempa piye toch ?"",""1467341154496643074"","""",""tvOneNews"",""in"",""Makasar, Indonesia"",""0"",""0"",""0"",""https://x.com/mochyusran/status/1467341154496643074"",""223174099"",""mochyusran""";
